before_id,after_id,iou,before_h_m,after_h_m,delta_m,class,area_m2,reason
932,932,1.0,6.89,6.89,0.0,INCONCLUSIVE,18.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.7 m here) -- damage cannot be ruled out at this precision"
931,931,1.0,12.06,12.06,0.0,INCONCLUSIVE,18.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.0 m here) -- damage cannot be ruled out at this precision"
929,929,1.0,10.44,10.44,0.0,INCONCLUSIVE,18.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.6 m here) -- damage cannot be ruled out at this precision"
928,928,1.0,8.85,8.85,0.0,INCONCLUSIVE,18.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.2 m here) -- damage cannot be ruled out at this precision"
927,927,1.0,23.07,23.07,0.0,INCONCLUSIVE,19.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.8 m here) -- damage cannot be ruled out at this precision"
926,926,1.0,11.17,11.17,0.0,INCONCLUSIVE,19.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.8 m here) -- damage cannot be ruled out at this precision"
923,923,1.0,8.78,8.78,0.0,INCONCLUSIVE,19.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.2 m here) -- damage cannot be ruled out at this precision"
921,921,1.0,7.9,7.9,0.0,INCONCLUSIVE,19.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.0 m here) -- damage cannot be ruled out at this precision"
920,920,1.0,13.68,13.68,0.0,INCONCLUSIVE,19.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.4 m here) -- damage cannot be ruled out at this precision"
916,916,1.0,10.8,10.8,0.0,INCONCLUSIVE,19.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
915,915,1.0,19.83,19.83,0.0,INCONCLUSIVE,19.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.0 m here) -- damage cannot be ruled out at this precision"
914,914,1.0,14.76,14.76,0.0,INCONCLUSIVE,19.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.7 m here) -- damage cannot be ruled out at this precision"
912,912,1.0,13.18,13.18,0.0,INCONCLUSIVE,19.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.3 m here) -- damage cannot be ruled out at this precision"
910,910,1.0,17.02,17.02,0.0,INCONCLUSIVE,19.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.3 m here) -- damage cannot be ruled out at this precision"
909,909,1.0,18.03,18.03,0.0,INCONCLUSIVE,19.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.5 m here) -- damage cannot be ruled out at this precision"
907,907,1.0,21.22,21.22,0.0,INCONCLUSIVE,19.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.3 m here) -- damage cannot be ruled out at this precision"
906,906,1.0,10.81,10.81,0.0,INCONCLUSIVE,19.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
905,905,1.0,25.5,25.5,0.0,INCONCLUSIVE,19.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.4 m here) -- damage cannot be ruled out at this precision"
904,904,1.0,25.3,25.3,0.0,INCONCLUSIVE,19.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.3 m here) -- damage cannot be ruled out at this precision"
903,903,1.0,25.41,25.41,0.0,INCONCLUSIVE,19.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.4 m here) -- damage cannot be ruled out at this precision"
901,901,1.0,10.99,10.99,0.0,INCONCLUSIVE,19.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
899,899,1.0,18.66,18.66,0.0,INCONCLUSIVE,19.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.7 m here) -- damage cannot be ruled out at this precision"
894,894,1.0,13.38,13.38,0.0,INCONCLUSIVE,20.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.3 m here) -- damage cannot be ruled out at this precision"
891,891,1.0,14.75,14.75,0.0,INCONCLUSIVE,20.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.7 m here) -- damage cannot be ruled out at this precision"
890,890,1.0,11.2,11.2,0.0,INCONCLUSIVE,20.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.8 m here) -- damage cannot be ruled out at this precision"
888,888,1.0,14.21,14.21,0.0,INCONCLUSIVE,20.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.6 m here) -- damage cannot be ruled out at this precision"
887,887,1.0,12.46,12.46,0.0,INCONCLUSIVE,20.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.1 m here) -- damage cannot be ruled out at this precision"
884,884,1.0,25.49,25.49,0.0,INCONCLUSIVE,20.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.4 m here) -- damage cannot be ruled out at this precision"
883,883,1.0,9.18,9.18,0.0,INCONCLUSIVE,20.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.3 m here) -- damage cannot be ruled out at this precision"
880,880,1.0,10.7,10.7,0.0,INCONCLUSIVE,20.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
878,878,1.0,10.44,10.44,0.0,INCONCLUSIVE,20.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.6 m here) -- damage cannot be ruled out at this precision"
877,877,1.0,10.8,10.8,0.0,INCONCLUSIVE,20.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
872,872,1.0,15.29,15.29,0.0,INCONCLUSIVE,21.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
871,871,1.0,21.66,21.66,0.0,INCONCLUSIVE,21.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.4 m here) -- damage cannot be ruled out at this precision"
870,870,1.0,10.1,10.1,0.0,INCONCLUSIVE,21.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
867,867,1.0,13.85,13.85,0.0,INCONCLUSIVE,21.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.5 m here) -- damage cannot be ruled out at this precision"
866,866,1.0,19.01,19.01,0.0,INCONCLUSIVE,21.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.8 m here) -- damage cannot be ruled out at this precision"
865,865,1.0,6.43,6.43,0.0,INCONCLUSIVE,21.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.6 m here) -- damage cannot be ruled out at this precision"
862,862,1.0,6.9,6.9,0.0,INCONCLUSIVE,21.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.7 m here) -- damage cannot be ruled out at this precision"
861,861,1.0,23.95,23.95,0.0,INCONCLUSIVE,21.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.0 m here) -- damage cannot be ruled out at this precision"
860,860,1.0,14.92,14.92,0.0,INCONCLUSIVE,21.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.7 m here) -- damage cannot be ruled out at this precision"
857,857,1.0,18.3,18.3,0.0,INCONCLUSIVE,21.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.6 m here) -- damage cannot be ruled out at this precision"
856,856,1.0,16.39,16.39,0.0,INCONCLUSIVE,21.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.1 m here) -- damage cannot be ruled out at this precision"
853,853,1.0,11.04,11.04,0.0,INCONCLUSIVE,21.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.8 m here) -- damage cannot be ruled out at this precision"
852,852,1.0,22.77,22.77,0.0,INCONCLUSIVE,21.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.7 m here) -- damage cannot be ruled out at this precision"
851,851,1.0,10.56,10.56,0.0,INCONCLUSIVE,21.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.6 m here) -- damage cannot be ruled out at this precision"
847,847,1.0,6.16,6.16,0.0,INCONCLUSIVE,22.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
846,846,1.0,18.03,18.03,0.0,INCONCLUSIVE,22.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.5 m here) -- damage cannot be ruled out at this precision"
843,843,1.0,7.34,7.34,0.0,INCONCLUSIVE,22.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.8 m here) -- damage cannot be ruled out at this precision"
842,842,1.0,4.44,4.44,0.0,INCONCLUSIVE,22.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.1 m here) -- damage cannot be ruled out at this precision"
841,841,1.0,14.46,14.46,0.0,INCONCLUSIVE,22.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.6 m here) -- damage cannot be ruled out at this precision"
840,840,1.0,24.77,24.77,0.0,INCONCLUSIVE,22.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.2 m here) -- damage cannot be ruled out at this precision"
838,838,1.0,10.58,10.58,0.0,INCONCLUSIVE,22.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.6 m here) -- damage cannot be ruled out at this precision"
837,837,1.0,10.82,10.82,0.0,INCONCLUSIVE,22.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
835,835,1.0,6.18,6.18,0.0,INCONCLUSIVE,22.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.5 m here) -- damage cannot be ruled out at this precision"
834,834,1.0,9.75,9.75,0.0,INCONCLUSIVE,22.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.4 m here) -- damage cannot be ruled out at this precision"
833,833,1.0,9.79,9.79,0.0,INCONCLUSIVE,22.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.4 m here) -- damage cannot be ruled out at this precision"
831,831,1.0,9.83,9.83,0.0,INCONCLUSIVE,22.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
830,830,1.0,9.83,9.83,0.0,INCONCLUSIVE,22.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
829,829,1.0,20.65,20.65,0.0,INCONCLUSIVE,23.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.2 m here) -- damage cannot be ruled out at this precision"
828,828,1.0,16.3,16.3,0.0,INCONCLUSIVE,23.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.1 m here) -- damage cannot be ruled out at this precision"
826,826,1.0,9.55,9.55,0.0,INCONCLUSIVE,23.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.4 m here) -- damage cannot be ruled out at this precision"
825,825,1.0,10.1,10.1,0.0,INCONCLUSIVE,23.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
821,821,1.0,9.61,9.61,0.0,INCONCLUSIVE,23.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.4 m here) -- damage cannot be ruled out at this precision"
820,820,1.0,19.38,19.38,0.0,INCONCLUSIVE,23.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.8 m here) -- damage cannot be ruled out at this precision"
818,818,1.0,10.61,10.61,0.0,INCONCLUSIVE,23.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
816,816,1.0,6.8,6.8,0.0,INCONCLUSIVE,23.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (1.7 m here) -- damage cannot be ruled out at this precision"
815,815,1.0,21.92,21.92,0.0,INCONCLUSIVE,23.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.5 m here) -- damage cannot be ruled out at this precision"
814,814,1.0,15.51,15.51,0.0,INCONCLUSIVE,23.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.9 m here) -- damage cannot be ruled out at this precision"
812,812,1.0,19.81,19.81,0.0,INCONCLUSIVE,23.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.0 m here) -- damage cannot be ruled out at this precision"
811,811,1.0,12.98,12.98,0.0,INCONCLUSIVE,23.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.2 m here) -- damage cannot be ruled out at this precision"
810,810,1.0,12.94,12.94,0.0,INCONCLUSIVE,23.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.2 m here) -- damage cannot be ruled out at this precision"
809,809,1.0,15.37,15.37,0.0,INCONCLUSIVE,24.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
808,808,1.0,24.43,24.43,0.0,INCONCLUSIVE,24.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.1 m here) -- damage cannot be ruled out at this precision"
807,807,1.0,11.25,11.25,0.0,INCONCLUSIVE,24.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.8 m here) -- damage cannot be ruled out at this precision"
806,806,1.0,18.03,18.03,0.0,INCONCLUSIVE,24.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.5 m here) -- damage cannot be ruled out at this precision"
805,805,1.0,9.87,9.87,0.0,INCONCLUSIVE,24.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
803,803,1.0,12.2,12.2,0.0,INCONCLUSIVE,24.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.0 m here) -- damage cannot be ruled out at this precision"
802,802,1.0,24.93,24.93,0.0,INCONCLUSIVE,24.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.2 m here) -- damage cannot be ruled out at this precision"
801,801,1.0,24.08,24.08,0.0,INCONCLUSIVE,24.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.0 m here) -- damage cannot be ruled out at this precision"
800,800,1.0,20.8,20.8,0.0,INCONCLUSIVE,25.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.2 m here) -- damage cannot be ruled out at this precision"
799,799,1.0,9.83,9.83,0.0,INCONCLUSIVE,25.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
798,798,1.0,10.25,10.25,0.0,INCONCLUSIVE,25.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.6 m here) -- damage cannot be ruled out at this precision"
797,797,1.0,9.94,9.94,0.0,INCONCLUSIVE,25.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
796,796,1.0,23.09,23.09,0.0,INCONCLUSIVE,25.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.8 m here) -- damage cannot be ruled out at this precision"
795,795,1.0,24.16,24.16,0.0,INCONCLUSIVE,25.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.0 m here) -- damage cannot be ruled out at this precision"
794,794,1.0,23.34,23.34,0.0,INCONCLUSIVE,25.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.8 m here) -- damage cannot be ruled out at this precision"
793,793,1.0,24.3,24.3,0.0,INCONCLUSIVE,25.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.1 m here) -- damage cannot be ruled out at this precision"
791,791,1.0,24.26,24.26,0.0,INCONCLUSIVE,25.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.1 m here) -- damage cannot be ruled out at this precision"
790,790,1.0,12.08,12.08,0.0,INCONCLUSIVE,25.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.0 m here) -- damage cannot be ruled out at this precision"
789,789,1.0,24.31,24.31,0.0,INCONCLUSIVE,25.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.1 m here) -- damage cannot be ruled out at this precision"
788,788,1.0,22.85,22.85,0.0,INCONCLUSIVE,25.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.7 m here) -- damage cannot be ruled out at this precision"
785,785,1.0,23.01,23.01,0.0,INCONCLUSIVE,25.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.8 m here) -- damage cannot be ruled out at this precision"
784,784,1.0,10.77,10.77,0.0,INCONCLUSIVE,25.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
783,783,1.0,21.64,21.64,0.0,INCONCLUSIVE,26.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (5.4 m here) -- damage cannot be ruled out at this precision"
782,782,1.0,24.71,24.71,0.0,INCONCLUSIVE,26.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.2 m here) -- damage cannot be ruled out at this precision"
780,780,1.0,23.96,23.96,0.0,INCONCLUSIVE,26.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.0 m here) -- damage cannot be ruled out at this precision"
779,779,1.0,16.49,16.49,0.0,INCONCLUSIVE,26.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.1 m here) -- damage cannot be ruled out at this precision"
776,776,1.0,16.8,16.8,0.0,INCONCLUSIVE,26.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.2 m here) -- damage cannot be ruled out at this precision"
774,774,1.0,13.63,13.63,0.0,INCONCLUSIVE,26.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.4 m here) -- damage cannot be ruled out at this precision"
773,773,1.0,15.9,15.9,0.0,INCONCLUSIVE,26.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.0 m here) -- damage cannot be ruled out at this precision"
770,770,1.0,16.39,16.39,0.0,INCONCLUSIVE,26.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.1 m here) -- damage cannot be ruled out at this precision"
769,769,1.0,15.39,15.39,0.0,INCONCLUSIVE,26.7,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
768,768,1.0,24.48,24.48,0.0,INCONCLUSIVE,26.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (6.1 m here) -- damage cannot be ruled out at this precision"
767,767,1.0,13.24,13.24,0.0,INCONCLUSIVE,26.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.3 m here) -- damage cannot be ruled out at this precision"
764,764,1.0,12.87,12.87,0.0,INCONCLUSIVE,26.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.2 m here) -- damage cannot be ruled out at this precision"
762,762,1.0,9.46,9.46,0.0,INCONCLUSIVE,27.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.4 m here) -- damage cannot be ruled out at this precision"
760,760,1.0,15.15,15.15,0.0,INCONCLUSIVE,27.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
759,759,1.0,14.91,14.91,0.0,INCONCLUSIVE,27.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.7 m here) -- damage cannot be ruled out at this precision"
758,758,1.0,15.44,15.44,0.0,INCONCLUSIVE,27.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.9 m here) -- damage cannot be ruled out at this precision"
757,757,1.0,17.1,17.1,0.0,INCONCLUSIVE,27.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.3 m here) -- damage cannot be ruled out at this precision"
755,755,1.0,9.86,9.86,0.0,INCONCLUSIVE,27.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.5 m here) -- damage cannot be ruled out at this precision"
754,754,1.0,10.76,10.76,0.0,INCONCLUSIVE,27.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
751,751,1.0,16.41,16.41,0.0,INCONCLUSIVE,27.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.1 m here) -- damage cannot be ruled out at this precision"
750,750,1.0,14.13,14.13,0.0,INCONCLUSIVE,28.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.5 m here) -- damage cannot be ruled out at this precision"
749,749,1.0,7.96,7.96,0.0,INCONCLUSIVE,28.1,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.0 m here) -- damage cannot be ruled out at this precision"
747,747,1.0,8.25,8.25,0.0,INCONCLUSIVE,28.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.1 m here) -- damage cannot be ruled out at this precision"
746,746,1.0,15.09,15.09,0.0,INCONCLUSIVE,28.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
745,745,1.0,15.24,15.24,0.0,INCONCLUSIVE,28.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
744,744,1.0,16.84,16.84,0.0,INCONCLUSIVE,28.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.2 m here) -- damage cannot be ruled out at this precision"
743,743,1.0,15.1,15.1,0.0,INCONCLUSIVE,28.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
742,742,1.0,10.28,10.28,0.0,INCONCLUSIVE,28.3,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.6 m here) -- damage cannot be ruled out at this precision"
741,741,1.0,10.96,10.96,0.0,INCONCLUSIVE,28.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (2.7 m here) -- damage cannot be ruled out at this precision"
740,740,1.0,15.42,15.42,0.0,INCONCLUSIVE,28.4,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.9 m here) -- damage cannot be ruled out at this precision"
738,738,1.0,14.9,14.9,0.0,INCONCLUSIVE,28.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.7 m here) -- damage cannot be ruled out at this precision"
737,737,1.0,15.84,15.84,0.0,INCONCLUSIVE,28.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.0 m here) -- damage cannot be ruled out at this precision"
736,736,1.0,17.27,17.27,0.0,INCONCLUSIVE,28.5,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.3 m here) -- damage cannot be ruled out at this precision"
735,735,1.0,15.31,15.31,0.0,INCONCLUSIVE,28.6,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
733,733,1.0,15.09,15.09,0.0,INCONCLUSIVE,28.8,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
732,732,1.0,14.7,14.7,0.0,INCONCLUSIVE,28.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.7 m here) -- damage cannot be ruled out at this precision"
730,730,1.0,15.07,15.07,0.0,INCONCLUSIVE,28.9,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
729,729,1.0,15.39,15.39,0.0,INCONCLUSIVE,29.0,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
727,727,1.0,16.0,16.0,0.0,INCONCLUSIVE,29.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (4.0 m here) -- damage cannot be ruled out at this precision"
725,725,1.0,15.33,15.33,0.0,INCONCLUSIVE,29.2,"change +0.0 m is inside the +/-6.4 m interval on the difference, and that band is wider than the 25% damage threshold (3.8 m here) -- damage cannot be ruled out at this precision"
